# Catalan dictionary headwords NOT found in any CDSL dictionary
# (accent- and compound-insensitive k1 match against all 43 CDSL dicts in csl-orig/v02)
# total uncovered headwords: 4680  (unique normalized keys: 4670)


## suspect-char  (126)
˜  pra-√kāṅkṣ                           	  prakANkz
kṣarātman-                              	kzarAtman
kṣatodbhāva-                            	kzatodBAva
kṣatriyeśa-                             	kzatriyeSa
kṣayodaya-                              	kzayodaya
kṣayopāya-                              	kzayopAya
kṣiraudana-                             	kzirOdana
kṣirormi-                               	kzirormi
lābhālabha-                             	lABAlaBa
lāṇgalāpakarṣin-                        	lARgalApakarzin
lākṣākṛta-                              	lAkzAkfta
lāṭyayana-                              	lAwyayana
laṅkataṅkatā-                           	laNkataNkatA
lakśyī-                                 	lakSyI
lakśyī-                                 	lakSyI
lakṣmaṇātmaja-                          	lakzmaRAtmaja
lakṣyaikadeśāvṛttitva-                  	lakzyEkadeSAvfttitva
lakṣyamāṇa-                             	lakzyamARa
lakṣyatāvacchedaka-                     	lakzyatAvacCedaka
lalaj-                                  	lalaj
latāntarita-                            	latAntarita
laṭālaya-                               	lawAlaya
lekhyāruḍha-                            	leKyAruQa
leṣṭuka-                                	lezwuka
lokānuvartana-                          	lokAnuvartana
lokāpavada-                             	lokApavada
lolāpaṅga                               	lolApaNga
lulitākulakeśa-                         	lulitAkulakeSa
mādhyàṃdināya-                          	mADyaMdinAya
māṇmatha-                               	mARmaTa
māheṣī-                                 	mAhezI
mālavodbhāva-                           	mAlavodBAva
mānotsaha-                              	mAnotsaha
mārakikā-                               	mArakikA
mārgāgāta-                              	mArgAgAta
mārgāyata-                              	mArgAyata
māsāhara-                               	mAsAhara
mātaṅginī-                              	mAtaNginI
maithuna jvara-                         	mETuna jvara
maithuneccha-                           	mETunecCa
maitrāyaṇy-                             	mEtrAyaRy
maitry-                                 	mEtry
maitryādi-                              	mEtryAdi
mauktikā-                               	mOktikA
mūlotkhata-                             	mUlotKata
mūrchanā-                               	mUrCanA
maṇdūkānuvṛtti-                         	maRdUkAnuvftti
maṇikā-                                 	maRikA
maṇḍūkāsana-                            	maRqUkAsana
maṇḍalāvṛtti-                           	maRqalAvftti
mahāhlādin-                             	mahAhlAdin
mahāmatya-                              	mahAmatya
mahānubhava-                            	mahAnuBava
mahocchrāya-                            	mahocCrAya
malodbhūta-                             	malodBUta
mamāptāla-                              	mamAptAla
manāg                                   	manAg
manānanda-                              	manAnanda
mandātapa-                              	mandAtapa
mantrādhvan-                            	mantrADvan
mantrodaya-                             	mantrodaya
marālakī-                               	marAlakI
marandaka-                              	marandaka
martyāmartya-                           	martyAmartya
maryādānusāra-                          	maryAdAnusAra
mastṛhan-                               	mastfhan
mastv-                                  	mastv
matsyendrāsana-                         	matsyendrAsana
maúdgalya-                              	maudgalya
mayūrāsana-                             	mayUrAsana
mṛtāsana-                               	mftAsana
mṛṣātman-                               	mfzAtman
mithyācara-                             	miTyAcara
mithyārthasamarthanecchā-               	miTyArTasamarTanecCA
mithyopacara-                           	miTyopacara
mohāpāya-                               	mohApAya
muñjādiṣīkā-                            	muYjAdizIkA
nāktāśin-                               	nAktASin
nāmābhidhāna-                           	nAmABiDAna
nāmollekha-                             	nAmolleKa
nāraṅgī-                                	nAraNgI
nāsagra-                                	nAsagra
nātiśitoṣṇa-                            	nAtiSitozRa
nātikālyaṇa-                            	nAtikAlyaRa
nātiparisphuta-                         	nAtiparisPuta
nātisliṣṭa-                             	nAtislizwa
nairmatya-                              	nErmatya
naisva-                                 	nEsva
nīcaís-                                 	nIcais
nīcakakī-                               	nIcakakI
nīcakikā-                               	nIcakikA
nīrajaka-                               	nIrajaka
nabhoṅgana-                             	naBoNgana
nakharā-                                	naKarA
nákt-                                   	nakt
namaukti-                               	namOkti
navāśīti tama-                          	navASIti tama
nayanonmīlana-                          	nayanonmIlana
naṣṭātaṅka-                             	nazwAtaNka
niḥśreyasādhigama-                      	niHSreyasADigama
niḥśulkam                               	niHSulkam
