slp1	iast	n_dicts	dicts	gender	fem_fold
AqU	āḍū	5	BUR MW PWG PWK VCP	m	
Aqi	āḍi	5	BUR MW PWG PWK VCP	f	
Aqu	āḍu	3	MW PWG PWK	-	
ArA	ārā	13	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	f	
ArC	ārch	1	MW	-	
ArD	ārdh	1	MW	-	
ArI	ārī	3	MW PWG PWK	f	
ArU	ārū	6	AP BUR MW PWG PWK VCP	fmn	
Ara	āra	11	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	mn	
Ard	ārd	1	BUR	-	
Are	āre	7	AP CAE CCS MD MW PWG PWK	-	
Ari	āri	2	PWK SCH	f	
Aru	āru	6	AP BUR MW PWG PWK VCP	fm	
Ary	āry	1	PWG	-	
AsA	āsā	3	AP PWG VCP	-	
AsU	āsū	1	MW	-	
Asa	āsa	12	BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	mn	
Asf	āsṛ	1	MW	-	
Asi	āsi	3	BUR MW SCH	-	
Asu	āsu	2	AP MW	-	
AtA	ātā	10	CAE CCS GRA MD MW PWG PWK SCH VCP VEI	fm	
AtF	ātṝ	2	AP MW	-	
AtI	ātī	5	CAE MW PWG PWK SCH	f	
Ata	āta	6	AP BUR MW PWG PWK VCP	m	
Ati	āti	10	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	f	
Atu	ātu	5	BUR MW PWG PWK VCP	m	
AvA	āvā	1	MW	-	
AvI	āvī	8	AP CAE CCS MD MW PWG PWK VCP	fn	
Ava	āva	7	BUR CAE CCS MD MW PWG PWK	n	
Ave	āve	1	MW	-	
Avf	āvṛ	2	AP MW	-	
Avi	āvi	6	CAE CCS MD MW PWG PWK	f	
Awa	āṭa	4	MW PWG PWK SCH	fmn	
Awi	āṭi	5	BUR MW PWG PWK VCP	f	
AyA	āyā	2	AP MW	-	
AyE	āyai	1	PWK	-	
Aya	āya	11	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	m	
Aye	āye	3	AP BUR MW	-	
Ayu	āyu	12	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	fmn	
BAH	bhāḥ	1	SKD	-	
BAR	bhāṇ	4	CAE MW PWG PWK	-	
BAj	bhāj	8	AP BUR CAE CCS MD MW PWG PWK	fmn	
BAm	bhām	7	AP CAE GRA MD MW PWG PWK	-	
BAs	bhās	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD	fn	
BAz	bhāṣ	9	AP BUR CAE CCS MD MW PWG PWK SCH	fn	
BEH	bhaiḥ	1	MD	-	
BEs	bhais	4	BUR CCS MW PWK	-	
BIH	bhīḥ	1	SKD	-	
BIs	bhīs	1	GRA	-	
BUH	bhūḥ	2	AP SKD	f	
BUh	bhūh	1	PWK	-	
BUr	bhūr	8	AP CAE CCS MD MW PWG PWK VCP	-	
BUt	bhūt	1	BHS	-	
BUz	bhūṣ	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
BaH	bhaḥ	2	AP SKD	-	
BaM	bhaṃ	1	SKD	-	
BaR	bhaṇ	8	AP BUR CAE CCS MD MW PWG PWK	n	
Bad	bhad	1	BUR	-	
Baj	bhaj	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
Bal	bhal	9	AP BUR CAE CCS MD MW PWG PWK SCH	-	
Ban	bhan	8	AP CAE CCS GRA MD MW PWG PWK	-	
Bar	bhar	4	CCS PWG PWK SCH	fn	
Bas	bhas	9	AP BUR CAE CCS GRA MD MW PWG PWK	n	
Baw	bhaṭ	8	AP BUR CAE CCS MD MW PWG PWK	-	
Baz	bhaṣ	8	AP BUR CAE CCS MD MW PWG PWK	-	
Bet	bhet	1	BUR	-	
Bez	bheṣ	4	AP MW PWG PWK	-	
BfS	bhṛś	5	AP BUR MW PWG PWK	-	
Bfg	bhṛg	4	AP MW PWG PWK	f	
Bfj	bhṛj	3	AP BUR MW	-	
Bfq	bhṛḍ	1	MW	-	
Bft	bhṛt	8	AP BUR CAE CCS MD MW PWG PWK	fmn	
Bid	bhid	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	fmn	
Bil	bhil	4	BUR MW PWG PWK	-	
Bit	bhit	1	SKD	-	
Biz	bhiṣ	1	SKD	-	
BoH	bhoḥ	3	CAE MW SKD	-	
Boj	bhoj	3	MW PWG PWK	fmn	
Bos	bhos	9	AP BUR CAE CCS MD MW PWG PWK VCP	n	
BrI	bhrī	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP	-	
BrU	bhrū	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP	fmn	
Bra	bhra	1	MW	-	
Bru	bhru	2	MW VCP	-	
BuN	bhuṅ	3	MW PWG PWK	-	
Buj	bhuj	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	fmn	
Buk	bhuk	5	CAE CCS MW PWG PWK	n	
Bur	bhur	7	CAE CCS GRA MD MW PWG PWK	-	
Bva	bhva	2	MW PWK	-	
CAH	chāḥ	1	SKD	-	
CaH	chaḥ	2	AP SKD	-	
CaM	chaṃ	1	SKD	-	
Cad	chad	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	fmn	
Cal	chal	1	MW	-	
Cam	cham	5	AP BUR MW PWG PWK	-	
Caz	chaṣ	5	AP BUR MW PWG PWK	-	
Cfd	chṛd	5	AP BUR CAE MD MW	-	
Cfp	chṛp	2	BUR MW	-	
Cfz	chṛṣ	1	AP	-	
CiH	chiḥ	2	AP SKD	f	
Cid	chid	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	fmn	
Cit	chit	1	SKD	-	
Cup	chup	6	AP BUR MW PWG PWK SCH	-	
Cuq	chuḍ	7	AP BUR CAE MD MW PWG PWK	-	
Cur	chur	9	AP BUR CAE CCS MD MW PWG PWK SCH	-	
Cuw	chuṭ	9	AP BUR CAE CCS MD MW PWG PWK SCH	-	
Cyu	chyu	7	AP BUR MW PWG PWK SKD VCP	-	
DAH	dhāḥ	1	SKD	-	
DAv	dhāv	9	AP BUR CAE CCS GRA MD MW PWG PWK	n	
DIH	dhīḥ	2	AP SKD	-	
DIr	dhīr	1	MW	-	
DUH	dhūḥ	3	AP SKD VCP	f	
DUS	dhūś	5	AP BUR MW PWG PWK	-	
DUp	dhūp	4	AP BUR GRA MW	-	
DUr	dhūr	5	AP BUR MW PWG PWK	-	
DUs	dhūs	3	AP MW PWK	-	
DUz	dhūṣ	4	AP MW PWG PWK	-	
DaH	dhaḥ	2	AP SKD	-	
DaM	dhaṃ	1	SKD	-	
DaR	dhaṇ	5	AP BUR MW PWG PWK	-	
Dak	dhak	6	AP BUR MD MW PWG PWK	n	
Dam	dham	11	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH	n	
Dan	dhan	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
Dar	dhar	4	CCS PWG PWK SCH	fn	
Das	dhas	4	AP PWG PWK VCP	m	
Dav	dhav	8	BUR CAE CCS GRA MD MW PWG PWK	-	
Dfj	dhṛj	3	AP BUR MW	-	
Dfk	dhṛk	8	AP BUR CAE CCS MD MW PWG PWK	-	
Dft	dhṛt	6	AP CCS MD MW PWG PWK	fmn	
Dfz	dhṛṣ	7	AP BUR CAE GRA MD MW SCH	f	
DiH	dhiḥ	1	AP	-	
Dig	dhig	1	MW	-	
Dik	dhik	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
Div	dhiv	1	BUR	-	
Diy	dhiy	2	PWG PWK	-	
Diz	dhiṣ	5	AP BUR MW PWG PWK	f	
DmA	dhmā	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	m	
Dma	dhma	4	MD MW PWG PWK	fmn	
DoI	dhoī	1	PWG	-	
Dor	dhor	5	AP BUR MW PWG PWK	-	
DrA	dhrā	5	AP MW PWG PWK VCP	-	
DrE	dhrai	5	AP BUR MW SKD VCP	-	
DrU	dhrū	1	BUR	-	
Dra	dhra	6	AP MD MW PWG PWK VCP	f	
Dri	dhri	4	GRA MW PWG PWK	-	
Dru	dhru	8	AP BUR GRA MW PWG PWK SKD VCP	-	
DuH	dhuḥ	2	AP SKD	f	
Dun	dhun	1	PWK	-	
Dur	dhur	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	fm	
Dvf	dhvṛ	8	AP BUR CAE GRA MD MW SKD VCP	-	
DyA	dhyā	9	AP BUR CAE CCS GRA MW PWG PWK SCH	f	
DyE	dhyai	6	AP BUR MD MW SKD VCP	-	
EBI	aibhī	5	AP MW PWG SKD VCP	f	
EBa	aibha	6	CAE CCS MD MW PWK SCH	f	
EBi	aibhi	1	AP	f	
EDA	aidhā	1	GRA	-	
EDa	aidha	3	CAE MW PWK	mn	
ERa	aiṇa	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP	f	
ESI	aiśī	1	SKD	-	
ESa	aiśa	8	AP CAE CCS MD MW PWG PWK VCP	fmn	
ESi	aiśi	5	CAE MD MW PWK SCH	m	
Eka	aika	5	AP MW PWG PWK VCP	fmn	
ElA	ailā	1	MW	f	
Ela	aila	9	BUR CAE CCS INM MD MW PWG PWK VCP	fmn	
Eli	aili	1	PWK	fm	
Ena	aina	6	AP INM MW PWG PWK SCH	m	
Eqa	aiḍa	9	AP CAE CCS GRA MD MW PWG PWK VCP	fmn	
Era	aira	4	MW PWG PWK VCP	fmn	
Eza	aiṣa	3	MW PWG PWK	n	
GUr	ghūr	5	AP BUR MW PWG PWK	-	
GaG	ghagh	3	BUR MW PWK	-	
GaH	ghaḥ	2	AP SKD	-	
GaR	ghaṇ	5	AP BUR MW PWG PWK	-	
Gam	gham	1	AP	-	
Gar	ghar	7	AP CCS GRA MW PWG PWK SCH	-	
Gas	ghas	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
Gaw	ghaṭ	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
Ged	ghed	3	CAE CCS MD	-	
GfN	ghṛṅ	4	MW PWG PWK VCP	-	
GfR	ghṛṇ	3	AP BUR MW	-	
Gfz	ghṛṣ	5	AP BUR CAE MD MW	-	
GiR	ghiṇ	1	PWK	-	
GnI	ghnī	4	MD MW PWG PWK	fm	
Gna	ghna	9	AP BUR CAE CCS GRA MD MW PWG PWK	fn	
Gnu	ghnu	1	MW	-	
Gol	ghol	1	MW	-	
GrA	ghrā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	-	
GuH	ghuḥ	2	AP SKD	-	
GuR	ghuṇ	5	AP BUR MW PWG PWK	-	
Gum	ghum	4	MW PWG PWK VCP	n	
Guq	ghuḍ	4	AP MW PWG PWK	-	
Gur	ghur	6	AP BUR MW PWG PWK SCH	-	
Guw	ghuṭ	7	AP BUR MD MW PWG PWK SCH	-	
Guz	ghuṣ	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	n	
IDe	īdhe	1	BUR	-	
IKa	īkha	2	SKD VCP	-	
INK	īṅkh	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
INg	īṅg	1	PWG	-	
ISA	īśā	5	AP MW PWG SKD VCP	f	
ISa	īśa	11	AP BUR CAE CCS INM MD MW PWG PWK SKD VCP	fmn	
IYj	īñj	2	AP MW	-	
Iga	īga	1	VCP	-	
IhA	īhā	8	AP CAE CCS MD MW PWG SKD VCP	f	
Iha	īha	6	CAE MW PWG PWK SKD VCP	fm	
Ija	īja	2	SKD VCP	-	
Ikz	īkṣ	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	n	
IlA	īlā	1	VCP	-	
IlI	īlī	6	MW PWG PWK SCH SKD VCP	f	
Ili	īli	5	BUR MW PWG PWK VCP	f	
Int	īnt	5	AP BUR MW PWG PWK	-	
Ips	īps	5	CAE CCS MW PWG PWK	-	
IqA	īḍā	7	AP MW PWG PWK SCH SKD VCP	f	
Iqa	īḍa	2	SKD VCP	-	
Ira	īra	9	CAE CCS MD MW PWG PWK SCH SKD VCP	fmn	
Irz	īrṣ	1	SCH	-	
Ita	īta	1	SKD	-	
Iti	īti	9	AP BUR CAE CCS MD MW PWG PWK VCP	f	
Iya	īya	2	AP VCP	-	
IzA	īṣā	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	f	
Iza	īṣa	6	BUR MW PWG PWK SKD VCP	m	
Ize	īṣe	1	AP	-	
Izi	īṣi	1	BHS	-	
JAM	jhāṃ	1	MW	-	
JIH	jhīḥ	1	AP	m	
JOH	jhauḥ	1	AP	-	
JUH	jhūḥ	1	AP	-	
JUz	jhūṣ	5	AP BUR MW PWG PWK	-	
JaH	jhaḥ	2	AP SKD	-	
JaN	jhaṅ	1	MW	-	
JaR	jhaṇ	5	CAE CCS MD MW PWK	-	
Jam	jham	5	AP BUR MW PWG PWK	-	
Jar	jhar	6	CAE CCS MD PWG PWK SCH	-	
Jaw	jhaṭ	9	AP BUR CAE CCS MD MW PWG PWK SCH	-	
Jaz	jhaṣ	5	AP BUR MW PWG PWK	-	
JeH	jheḥ	1	AP	-	
JiH	jhiḥ	1	AP	-	
JoH	jhoḥ	1	AP	-	
JuH	jhuḥ	1	AP	-	
Jyu	jhyu	7	AP BUR MW PWG PWK SKD VCP	-	
KAd	khād	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
KAt	khāt	5	AP CAE MW PWG PWK	-	
KAw	khāṭ	4	AP MW PWG PWK	-	
KaH	khaḥ	2	AP SKD	-	
KaM	khaṃ	1	SKD	-	
Kac	khac	8	AP BUR CAE CCS MD MW PWG PWK	-	
Kad	khad	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
Kaj	khaj	5	AP BUR MW PWG PWK	-	
Kal	khal	6	AP BUR MD MW PWG PWK	-	
Kam	kham	4	AP MW PWG PWK	-	
Kan	khan	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
Kaq	khaḍ	6	AP BUR MD MW PWG PWK	-	
Kar	khar	1	MD	-	
Kav	khav	5	AP BUR MW PWG PWK	-	
Kaw	khaṭ	5	AP BUR MW PWG PWK	-	
Kaz	khaṣ	5	AP BUR MW PWG PWK	-	
Kel	khel	9	AP BUR CAE CCS MD MW PWG PWK SCH	-	
Keq	kheḍ	4	BUR MW PWG PWK	-	
Kev	khev	5	AP BUR MW PWG PWK	-	
Kew	kheṭ	6	AP BUR MW PWG PWK SCH	-	
Kid	khid	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
Kiw	khiṭ	5	AP BUR MW PWG PWK	-	
Kol	khol	5	AP BUR MW PWG PWK	-	
Koq	khoḍ	5	AP BUR MW PWG PWK	-	
Kor	khor	5	AP BUR MW PWG PWK	-	
Kow	khoṭ	5	AP BUR MW PWG PWK	-	
Kud	khud	7	CAE CCS GRA MD MW PWG PWK	-	
Kuj	khuj	5	AP BUR MW PWG PWK	-	
Kum	khum	3	MW PWG PWK	n	
Kun	khun	2	MW PWK	-	
Kuq	khuḍ	5	AP BUR MW PWG PWK	-	
Kur	khur	5	AP BUR MW PWG PWK	-	
KyA	khyā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	mn	
NaH	ṅaḥ	2	AP SKD	-	
OGa	augha	7	CAE CCS MD MW PWG PWK VCP	m	
Ola	aula	2	MW PWK	m	
OmA	aumā	1	VCP	-	
Oma	auma	7	AP CAE CCS MD MW PWG PWK	fmn	
OqI	auḍī	1	PWK	-	
Oqa	auḍa	4	AP PWG PWK VCP	f	
OrA	aurā	3	MW PWG PWK	f	
Ozi	auṣi	1	BUR	-	
PAH	phāḥ	1	SKD	-	
PAw	phāṭ	3	AP BUR MW	-	
PUt	phūt	7	AP MD MW PWG PWK SKD VCP	-	
PaH	phaḥ	1	SKD	-	
PaM	phaṃ	1	SKD	-	
PaR	phaṇ	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
Pal	phal	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	fn	
Par	phar	5	GRA MD MW PWG PWK	-	
Pat	phat	3	MW PWG PWK	n	
Paw	phaṭ	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
Pel	phel	5	AP BUR MW PWG PWK	-	
Pet	phet	2	MW PWG	n	
Pew	pheṭ	2	MW PWG	mn	
PiH	phiḥ	2	AP SKD	-	
PuH	phuḥ	2	AP SKD	-	
Put	phut	9	AP BUR CAE MD MW PWG PWK SKD VCP	fmn	
Puw	phuṭ	1	PWG	-	
QOk	ḍhauk	9	AP BUR CAE CCS MD MW PWG PWK SCH	-	
QaH	ḍhaḥ	2	AP SKD	-	
RaH	ṇaḥ	2	AP SKD	-	
Ric	ṇic	1	PWK	-	
Rit	ṇit	1	MD	-	
Rya	ṇya	5	MD MW PWG PWK VCP	m	
SAK	śākh	5	AP BUR MW PWG PWK	-	
SAl	śāl	7	AP BUR MD MW PWG PWK SCH	-	
SAn	śān	4	AP MW PWG PWK	-	
SAq	śāḍ	5	AP BUR MW PWG PWK	-	
SAr	śār	2	AP MW	-	
SAs	śās	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	fmn	
SIB	śībh	5	AP BUR MW PWG PWK	-	
SIH	śīḥ	1	SKD	-	
SIk	śīk	8	AP BUR CAE CCS MD MW PWG PWK	-	
SIl	śīl	5	AP BUR MW PWG PWK	m	
SIq	śīḍ	1	CCS	-	
SIt	śīt	4	AP MD MW PWK	-	
SOq	śauḍ	5	AP BUR MW PWG PWK	-	
SOw	śauṭ	5	AP BUR MW PWG PWK	-	
SUl	śūl	6	AP BUR MD MW PWG PWK	-	
SUr	śūr	8	AP BUR GRA MD MW PWG PWK SCH	-	
SUt	śūt	1	PWK	-	
SUz	śūṣ	5	AP BUR MW PWG PWK	-	
SaH	śaḥ	2	AP SKD	-	
SaM	śaṃ	2	MW SKD	-	
SaR	śaṇ	5	AP BUR MW PWG PWK	-	
SaS	śaś	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
SaW	śaṭh	4	AP BUR MW PWG	-	
Sac	śac	6	AP BUR GRA MW PWG PWK	-	
Sad	śad	9	AP BUR CAE CCS GRA MD MW PWG PWK	n	
Sak	śak	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
Sal	śal	9	AP BUR CAE CCS MD MW PWG PWK SCH	n	
Sam	śam	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
Sap	śap	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD	n	
Sar	śar	4	CCS GRA PWG PWK	-	
Sas	śas	9	AP BUR CAE CCS GRA MD MW PWG PWK	fmn	
Sat	śat	8	CAE CCS GRA MD MW PWG PWK SCH	-	
Sav	śav	6	AP BUR MD MW PWG PWK	-	
Saw	śaṭ	6	AP BUR MW PWG PWK SCH	-	
Saz	śaṣ	5	AP BUR MW PWG PWK	-	
Sek	śek	1	AP	-	
Sel	śel	5	AP BUR MW PWG PWK	-	
Sev	śev	2	AP MW	-	
Sez	śeṣ	1	PWK	-	
SfD	śṛdh	4	AP BUR MD MW	-	
SiH	śiḥ	1	AP	-	
Sic	śic	7	AP BUR CAE CCS MW PWG PWK	f	
Sik	śik	1	SKD	-	
Sil	śil	5	AP BUR MW PWG PWK	-	
Sim	śim	6	CAE CCS MD MW PWG PWK	-	
Sir	śir	6	CAE GRA MD MW PWG PWK	-	
Sis	śis	4	GRA MD PWG PWK	-	
Sit	śit	3	MD MW SCH	-	
Siw	śiṭ	6	AP BUR MW PWG PWK SCH	-	
Siz	śiṣ	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	n	
Sli	śli	3	MW PWG PWK	-	
Slu	ślu	2	MD MW	-	
Sma	śma	1	SKD	-	
Sme	śme	1	MW	-	
SnA	śnā	2	AP MW	-	
Snu	śnu	2	AP MW	-	
SoR	śoṇ	7	AP BUR MD MW PWG PWK SCH	-	
Som	śom	3	MW PWG PWK	-	
Sos	śos	4	BUR MW PWG PWK	-	
SrA	śrā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	f	
SrE	śrai	5	AP BUR MW SKD VCP	-	
SrI	śrī	15	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	fmn	
SrU	śrū	3	MW PWG PWK	-	
Sra	śra	1	SCH	-	
Sri	śri	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	mn	
Sru	śru	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	n	
Sry	śry	1	MW	-	
SuB	śubh	9	AP BUR CAE CCS GRA MD MW PWG PWK	f	
SuD	śudh	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
SuR	śuṇ	1	BUR	-	
SuW	śuṭh	5	AP BUR MW PWG PWK	-	
Suc	śuc	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP	fmn	
Suj	śuj	6	CAE CCS GRA MW PWG PWK	-	
Suk	śuk	6	AP BUR MW PWG PWK SKD	-	
Sun	śun	5	AP BUR MW PWG PWK	-	
Sup	śup	2	AP MW	-	
Sur	śur	2	AP BUR	-	
Suz	śuṣ	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
SvA	śvā	9	CAE CCS GRA MD MW PWG PWK SCH SKD	-	
SvF	śvṝ	1	BUR	-	
Sva	śva	3	MW PWG PWK	-	
Svi	śvi	9	AP BUR CCS MD MW PWG PWK SKD VCP	-	
Svo	śvo	1	MW	-	
SyA	śyā	7	CAE CCS GRA MD PWG PWK SCH	-	
SyE	śyai	5	AP BUR MW SKD VCP	-	
TUt	thūt	2	MW PWK	-	
TaH	thaḥ	2	AP SKD	-	
TaM	thaṃ	1	SKD	-	
Tam	tham	1	AP	-	
Taq	thaḍ	1	BUR	-	
TuD	thudh	1	BUR	-	
Tuq	thuḍ	4	AP MW PWG PWK	-	
UKa	ūkha	1	MW	m	
UNK	ūṅkh	3	GRA PWG PWK	-	
UQA	ūḍhā	3	AP MW SKD	f	
UQa	ūḍha	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP	fmn	
UQi	ūḍhi	7	CAE CCS MD MW PWG PWK VCP	f	
URi	ūṇi	3	MW PWG PWK	f	
Uce	ūce	1	BUR	-	
Ude	ūde	1	BUR	-	
UhA	ūhā	3	AP MW VCP	f	
Uha	ūha	10	AP CAE CCS MD MW PWG PWK SCH SKD VCP	fmn	
Uhe	ūhe	1	BUR	-	
UlI	ūlī	4	CAE MW PWK SCH	f	
Ula	ūla	1	VEI	-	
Uma	ūma	9	AP CAE CCS GRA MD MW PWG PWK VCP	mn	
UnI	ūnī	2	PWK SCH	-	
Una	ūna	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
UpA	ūpā	1	MW	f	
UrI	ūrī	8	AP BUR MW PWG PWK SCH SKD VCP	-	
Ura	ūra	2	PWK SCH	-	
Urd	ūrd	5	AP BUR MW PWG PWK	-	
Urj	ūrj	9	AP BUR CAE CCS GRA MD MW PWG PWK	f	
Uru	ūru	9	BUR CAE CCS GRA MD MW PWG PWK VCP	fmn	
Urv	ūrv	2	MW PWK	-	
UtI	ūtī	1	PWG	f	
Uta	ūta	8	AP BUR CCS MD MW PWG PWK VCP	fmn	
Uti	ūti	10	BHS BUR CAE CCS GRA MD MW PWG PWK VCP	fm	
Uve	ūve	1	BUR	-	
Uya	ūya	2	SKD VCP	-	
UzA	ūṣā	5	AP MW PWG SKD VCP	f	
UzI	ūṣī	2	AP MD	f	
Uza	ūṣa	10	BUR CAE CCS MD MW PWG PWK SKD VCP VEI	fmn	
WaH	ṭhaḥ	2	AP SKD	-	
YaH	ñaḥ	2	AP SKD	-	
YiH	ñiḥ	1	SKD	-	
aBI	abhī	6	AP MD MW PWG PWK VCP	fmn	
aBU	abhū	1	MW	m	
aBa	abha	1	SKD	-	
aBi	abhi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
aBr	abhr	5	AP BUR MW PWG PWK	-	
aCA	achā	1	GRA	-	
aCa	acha	1	GRA	-	
aDA	adhā	4	AP CAE MW PWK	-	
aDI	adhī	2	AP MW	-	
aDa	adha	11	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP	-	
aDi	adhi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fm	
aGA	aghā	3	AP MW VEI	-	
aGa	agha	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
aMS	aṃś	4	AP BUR GRA MW	-	
aMh	aṃh	7	AP BUR CAE GRA MW PWG PWK	-	
aMs	aṃs	3	AP BUR MW	-	
aNG	aṅgh	5	AP BUR MW PWG PWK	-	
aNK	aṅkh	3	AP GRA MW	-	
aNg	aṅg	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
aNk	aṅk	5	AP BUR MW PWG PWK	-	
aRI	aṇī	5	AP MW PWG PWK SCH	f	
aRU	aṇū	3	MW PWK SCH	-	
aRW	aṇṭh	5	AP BUR MW PWG PWK	-	
aRa	aṇa	2	SKD VCP	-	
aRi	aṇi	6	BUR MW PWG PWK SCH VCP	fm	
aRu	aṇu	15	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	fmn	
aSA	aśā	2	PWK SCH	f	
aSa	aśa	2	SKD VCP	-	
aSi	aśi	1	PWK	-	
aSv	aśv	2	PWG PWK	-	
aTA	athā	4	AP CAE MW PWK	-	
aTa	atha	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	-	
aTo	atho	7	AP MD MW PWG PWK SKD VCP	-	
aWa	aṭha	2	SKD VCP	-	
aYC	añch	1	BUR	-	
aYc	añc	7	AP BUR MD MW PWG PWK SCH	-	
aYj	añj	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
aba	aba	2	SKD VCP	-	
abj	abj	2	PWG PWK	-	
aca	aca	2	SKD VCP	-	
adU	adū	5	AP GRA MW PWG PWK	fmn	
ada	ada	6	AP MW PWG PWK SKD VCP	fmn	
agA	agā	4	AP MW PWG PWK	fm	
aga	aga	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	fmn	
ago	ago	5	GRA MW PWG PWK SCH	f	
agu	agu	7	AP CAE GRA MW PWG PWK VCP	fmn	
ahI	ahī	7	AP CAE GRA MW PWG PWK SCH	fm	
aha	aha	13	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP	mn	
ahe	ahe	7	AP BUR MW PWG PWK SKD VCP	n	
ahi	ahi	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	fm	
aho	aho	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	n	
ahu	ahu	6	AP BHS MW PWG PWK VCP	fmn	
ajA	ajā	6	AP BUR MD MW PWK SKD	f	
ajU	ajū	3	MW PWK SCH	fmn	
aja	aja	14	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	fmn	
aji	aji	3	AP PWG VCP	-	
aka	aka	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	mn	
akz	akṣ	9	AP BUR CCS GRA MD MW PWG PWK SCH	-	
alI	alī	1	SKD	-	
ala	ala	7	BUR MW PWG PWK SCH SKD VCP	n	
ale	ale	4	AP BUR MW SKD	-	
ali	ali	8	BUR CAE CCS MD MW PWG PWK VCP	fmn	
alu	alu	5	BUR MW PWG PWK VCP	f	
amA	amā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fm	
amB	ambh	5	AP BUR MW PWG PWK	-	
amI	amī	8	BUR CCS GRA MD PWG PWK SCH SKD	m	
ama	ama	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
amb	amb	5	AP BUR MW PWG PWK	-	
ami	ami	1	MD	-	
amu	amu	7	CAE CCS GRA MD MW PWG PWK	fmn	
