key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
agniBU	agnibhu1	agnibhū	agnibhū	fiction	448	007-1	SCH-fiction-3147_cases.xml	1
agniSiKa	agnis4ikha	agniśikha	agniśikha	fiction	460	007-2	SCH-fiction-3147_cases.xml	0
agrakAya	agraka1ya	agrakāya	agrakāya	fiction	490	007-3	SCH-fiction-3147_cases.xml	1
agragrAsikA	agragra1sika1	agragrāsikā	agragrāsikā	fiction	495	007-3	SCH-fiction-3147_cases.xml	1
agrajanman	agrajanman	agrajanman	agrajanman	fiction	497	007-3	SCH-fiction-3147_cases.xml	1
agraBojana	agrabhojana	agrabhojana	agrabhojana	fiction	513	008-1	SCH-fiction-3147_cases.xml	0
agrAmyakanda	agra1myakanda	agrāmyakanda	agrāmyakanda	fiction	530	008-2	SCH-fiction-3147_cases.xml	0
aNgana	an3gana	aṅgana	angana	fiction	605	009-2	SCH-fiction-3147_cases.xml	1
aNgamardaka	an3gamardaka	aṅgamardaka	angamardaka	fiction	614	009-2	SCH-fiction-3147_cases.xml	1
aNgArakita	an3ga1rakita	aṅgārakita	angārakita	fiction	634	009-3	SCH-fiction-3147_cases.xml	1
